accordian,,,
anchor,,,
ant,,,
leaf,,,
asparagus,,,
stroller,baby carriage,pram,
barn,barn and silo,,
basket,picinic basket,,
bat,baseball bat,,
lemon,,,
bed,,,
bee,,,
swan,goose,,
bird,,,
book,,,
bread,loaf,,
brush,hair brush,,
bus,school bus,schoolbus,
cake,birthday cake,chocolate cake,
camel,,,
candle,,,
canon,,,
sports car,red car,car,
celery,,,
chair,wooden chair,,
church,monastery,chapel,
clock,,,
train,,,
coat,jacket,trenchcoat,
corn,sweet corn,,
couch,sofa,,
watermelon,melon,,
desk,table,,
dresser,chest,drawers,
drum,,,
eye,,,
fly,,,
pan,frying pan,,
glasses,,,
cricket,grasshopper,,
guitar,,,
wagon,red wagon,,
hat,stetson,,
helicopter,,,
helmet,sports helmet,football helmet,
house,home,,
ironing board,,,
kettle,teapot,,
key,,,
kite,,,
knife,butter knife,,
lamp,,,
lightbulb,bulb,light,
lion,,,
lobster,crustacean,,
light switch,light fixture,,
mitten,,,
moon,crescent,,
mouse,rodent,rat,
mushroom,fungus,,
knife,nailfile,,
ostrich,emu,,
owl,,,
paintbrush,brush,,
peacock,,,
tie,necktie,,
pencil,,,
pig,swine,,
pineapple,,,
pliers,wrench,,
plug,,,
pot,,,
rabbit,bunny,bunny rabbit,hare
raccoon,,,
record player,,,
fridge,refridgerator,,
salt,salt shaker,,
saw,handsaw,,
scissors,,,
screw,,,
seahorse,,,
snail,,,
snowman,,,
spider,,,
sewing machine,spinning jenny,,
thread,red thread,spool,
squirrel,,,
stool,wooden stool,,
oven,stove,,
briefcase,,,
bike,motorcycle,,
leg,,,
toaster,,,
turtle,tortoise,,
screwdriver,,,
sled,,,
racket,tennis racket,,
rocking chair,,,
trumpet,brass,,
umbrella,,,
watch,wristwatch,,
whistle,,,
windmill,,,
window,,,
wineglass,glass,,
wrench,,,
purse,handbag,bag,
boat,sailboat,,
roller skate,roller skates,,
vase,flower pot,,
vest,,,
top,spinning top,,
tomato,,,
ring,pearl ring,wedding ring,
pumpkin,squash,,
frog,toad,,
letter,envelope,,
cigarette,smoke,,
cigar,,,
truck,lorry,semi,
